"V1","V2","V3","V4","V5"
"323",1.2136350245414,0.946387805444636,1.26800358458291,1.23881575687231,1.05126455812773
"324",1.20801643887608,0.930653938713826,1.26324845644023,1.24116317765263,1.05270138390053
"325",1.20734597502799,0.919942658760348,1.26295856189403,1.24079295071841,1.05280519166355
"326",1.21195288207069,0.913821481252094,1.26322955274647,1.23861620394417,1.0518634710128
"327",1.22136268010756,0.913299876227992,1.2627448775748,1.23785346440774,1.04995331194068
"328",1.23721260178077,0.913614388320691,1.26283915003591,1.23857799462523,1.04895490719474
"329",1.25597413771584,0.912953351051191,1.2640769977554,1.23954458516569,1.05057814098832
"330",1.27753310529808,0.910310899102084,1.26520561148789,1.24154703540505,1.05492723747464
"331",1.29494886423384,0.907359182234222,1.26256387051923,1.2456592644689,1.06516511161758
"332",1.30431158355537,0.909461471249593,1.26144453187019,1.24178518796498,1.06586413834965
"333",1.30478297569727,0.9287272212081,1.26275199552537,1.23221434645547,1.06183443163901
"334",1.29833828126152,0.952954158112733,1.26250874948511,1.22288151242865,1.05391070721393
"335",1.29529842534244,0.971604787556108,1.26901053124952,1.21320083107443,1.04988029082982
"336",1.29759929790403,0.982140910832671,1.2715104662468,1.20720041410561,1.04882609859295
"337",1.30644506506883,0.991922790901774,1.27236983860488,1.20394806466947,1.04931359928831
"338",1.31438716506307,0.996089572564011,1.27148262019682,1.20154250532852,1.05008666379712
"339",1.32504914684688,0.994946551825539,1.27087580784836,1.2015315289008,1.05005485401305
"340",1.33317445738189,0.989827300736481,1.27214772390421,1.20097048269251,1.04963294708384
"341",1.33606443111748,0.983778749856355,1.27543709587455,1.19906822404394,1.04866743541109
"342",1.3296881182507,0.979066278623198,1.2878143752783,1.19760062314124,1.04708251932193
"343",1.32045014742804,0.974605259699052,1.30274861220252,1.19524521429272,1.04806639128337
"344",1.31911350903874,0.975467552037521,1.30649731566425,1.19537926221076,1.05532599321231
"345",1.33363029041798,0.975319478131228,1.30017083081671,1.1957276928802,1.06507683453539
"346",1.34984309243205,0.972017692478178,1.28299223773942,1.19685727280632,1.07797063855605
"347",1.36704344846655,0.966982114834595,1.26882777966985,1.19826287010357,1.09718485201193
"348",1.37944799654712,0.96677257630792,1.25750017463275,1.19828192885753,1.12046446768577
"349",1.38441138877086,0.971889221075062,1.25143192356432,1.19889449159486,1.1426027409204
"350",1.38542404088464,0.978124033552637,1.25232686303065,1.19907614962761,1.16008527008026
"351",1.38377091413687,0.98760093913014,1.25387872844995,1.20066747575891,1.17122978765895
"352",1.37832047899059,1.004493196122,1.25795165740486,1.20631471556012,1.17423596102305
"353",1.366548648958,1.01940756865512,1.2652638880988,1.2157784430918,1.17248704270557
"354",1.35581356067188,1.03026314343806,1.27068150751654,1.22862437199231,1.16749427313044
"355",1.34921234971215,1.04678791382699,1.27157949788504,1.24311803034321,1.16258409094342
"356",1.3485534473217,1.06618724766536,1.27145837322462,1.25872072674621,1.16226109257104
"357",1.35311199109347,1.08777945916283,1.27190342117652,1.26755639973207,1.16778296268403
"358",1.3621059983329,1.10871736595985,1.27243652490967,1.27245678241838,1.18249573623693
"359",1.37380064786703,1.13333316413774,1.27762251182027,1.28111240853173,1.20110601269651
"360",1.38840387244537,1.15688543765409,1.28081904997628,1.29911244585001,1.2154494468159
"361",1.39727770003862,1.17951893110138,1.28098369138737,1.31539250857249,1.22932349479347
"362",1.4015965756822,1.19943622029103,1.28025483885656,1.33279734421401,1.23738985043416
"363",1.40219174405451,1.21342614265831,1.28031570834691,1.34801341784175,1.2370861788958
"364",1.40047860946672,1.22418850787269,1.2793373840162,1.35929536912337,1.23311095575595
"365",1.39578380546745,1.23122734881137,1.27679119466891,1.36478678300712,1.22468140744702
"366",1.3958845800477,1.23977454117845,1.27361207736295,1.35756950594479,1.21701216026645
"367",1.39962997485763,1.23944406672963,1.27022531444635,1.34928961476308,1.21250877150692
"368",1.39800771816792,1.24212172554654,1.26928485804248,1.36676880310386,1.21125004084207
"369",1.39188461553454,1.24001652419712,1.27351787627768,1.40404196577924,1.21426498559274
"370",1.37961210368806,1.23852830888072,1.28440374046391,1.4617385530649,1.21941265293002
"371",1.36941076257664,1.23583605790781,1.29646680082288,1.51464822438213,1.22699054680376
"372",1.35934045216285,1.22849555177227,1.30082393498896,1.54421538108443,1.23324648913072
"373",1.35289859164237,1.2166956567517,1.30444407088536,1.56284403497439,1.23551801472889
"374",1.35030999678682,1.21377765126215,1.30324077131124,1.57288262979769,1.23499997100103
"375",1.350275256571,1.21348563160093,1.29949916787729,1.57951033665991,1.23238040588568
"376",1.35008825074058,1.2133396481268,1.29439145059751,1.57784402216093,1.22509586080377
"377",1.34822041396218,1.21103329604474,1.28842231752873,1.56906651065279,1.21868357079835
"378",1.34150570017242,1.20744933499092,1.28061874979629,1.56436914076779,1.21419939759272
"379",1.33610084110506,1.20514601855185,1.27405125774277,1.56467938703417,1.21854239227993
"380",1.33848889259616,1.20718419068156,1.2679149204321,1.56178716406871,1.2209094076446
"381",1.35716020245354,1.21943213327632,1.26761014190975,1.55025136341048,1.22082533012157
"382",1.37126561653939,1.24476368903914,1.2675627638338,1.53990587989332,1.21727492825009
"383",1.38670321763153,1.2867680550874,1.26813165423308,1.52675572033131,1.21127436277747
"384",1.40319056723283,1.31569442581473,1.26805600748285,1.50886652110037,1.21046327521057
"385",1.41315980184236,1.34956800493608,1.26831714002419,1.49902149930001,1.21100548502163
"386",1.41627859675071,1.37126176478355,1.26702496235755,1.49733067899155,1.21211704880114
"387",1.41597149910072,1.37712911304051,1.26663049114103,1.49725072303423,1.21218404055392
"388",1.41526545280387,1.37794210246932,1.2676621092502,1.49715949395732,1.21279070210372
"389",1.41381984111287,1.3765779225369,1.26932911666593,1.49818872075099,1.21181271263311
"390",1.41499018903899,1.37310689421004,1.27084076772868,1.50139969489818,1.21675565824646
"391",1.4172219410004,1.37070677209485,1.27068544247036,1.50299605302465,1.22070960391811
"392",1.41661586391359,1.37018666175532,1.27005928439335,1.50265088542247,1.22099980222556
